name,ra,dec,err_ellipse_r0,significance,hard_hs,hard_hm,hard_ms,flux_aper_b,flux_aper_s,flux_aper_m,flux_aper_h,extent_flag,var_flag,glon,glat,simbad_otype,simbad_id,source_class
2CXO J054010.8-691954,85.04602845527296,-69.33185932546313,0.2938586195847231,1324.36239257325,0.15865084322299,0.11492816989382,0.044971892567145,3.7998165908559e-11,4.2302261794612e-12,7.7628713976108e-12,2.6198538649485e-11,True,True,279.7173549696101,-31.51580620007861,cm,AT20G J054011-691953,other
2CXO J053747.4-691019,84.44743462203684,-69.17220150035753,0.29384254521547615,590.155060416407,0.15615240474703,0.034978138663335,0.12242348532167,4.7635860778936e-12,5.7774043810414e-13,1.142041863222e-12,3.1255131646667e-12,True,True,279.5595039517666,-31.74470292235883,,,
2CXO J212958.1+121002,322.4921735690891,12.16727782837192,0.29387469307473385,475.845453758539,0.55590256089944,0.40849469081824,0.18988132417239,3.734363054265e-12,1.9120992455087e-13,4.1431377477626e-13,3.0558934754229e-12,True,True,65.01227078900452,-27.311794448631254,*,NGC  7078    51,stellar
2CXO J004238.6+411603,10.660777937176135,41.267646040774245,0.2938907656856519,466.2245002896634,0.44097439100562,0.44472204871955,-0.0049968769519051,2.7466705396648e-12,2.068018741614e-13,2.8053270155616e-13,2.2821066135698e-12,True,True,121.15495684255649,-21.57375519823934,LXB,RX J004241+41155,stellar
2CXO J174502.3-285449,266.2597612606146,-28.913945889547993,0.2990212236211993,461.81985722590326,0.99937539038101,0.97189256714553,0.7158026233604,1.0564458560589e-13,0.0,3.7967204283015e-16,1.0743357379751e-13,True,True,359.9526738153493,0.12004808362113993,,,
2CXO J053516.4-052322,83.81863228814609,-5.3896948808301035,0.29385861958472304,457.8677395440421,-0.18363522798251,0.016239850093691,-0.19862585883823,2.7013994622287e-12,4.926767396102e-13,5.2637279925544e-13,1.696988763277e-12,True,True,209.0107593840232,-19.38402506863695,HH,HH 1146,other
2CXO J182157.2+642036,275.48837639931844,64.34338102753524,0.2937782389432372,443.8339411364479,-0.27732667083073,0.09369144284822,-0.36102435977514,1.6059941068648e-11,5.5105772387232e-12,2.3766012090358e-12,8.2282443531362e-12,True,True,94.0024833657696,27.417053718654735,G,[AWP2011] H1821+643 companion,AGN
2CXO J053528.0-691611,83.8667929503548,-69.26976132652463,0.2937460805279449,426.4244350243543,-0.6371018113679,-0.22485946283573,-0.47970018738289,3.7686721051375e-13,1.6263961913007e-13,8.6749202124809e-14,1.2818097253697e-13,True,True,279.7034477833485,-31.937048186291452,*,Gaia DR2 4657668080057142912,stellar
2CXO J053515.7-052309,83.81574270069927,-5.386084047675379,0.2938907656856519,423.546644622674,0.13366645846346,0.22236102435978,-0.091193004372267,2.3877766613764e-12,2.9192629101597e-13,3.9780188433275e-13,1.7146208502595e-12,True,True,209.00596604887625,-19.384957392956096,Y*O,TCC  48,stellar
2CXO J165749.7+352033,254.45732654985147,35.34241135674025,1.0423616397418736,415.93208729141503,0.1736414740787,0.5209244222361,-0.38226108682074,5.6452364675129e-11,5.8508156819044e-12,3.8532897405838e-12,4.7253477861364e-11,True,False,58.14906493231575,37.523218527791194,LXB,V* HZ Her,stellar
2CXO J121032.5+392420,182.63569990212136,39.40583501406621,0.29392290827078865,413.73794440905846,0.77326670830731,0.83822610868207,-0.18613366645846,1.875564322657e-11,4.3227391856569e-13,4.0198045218099e-13,1.8297813921246e-11,True,True,155.07717980833638,75.06306226243775,Rad,[CTH90] NGC 4151 C01,other
2CXO J053515.8-052314,83.81595930504545,-5.38728315703328,0.29408356849993716,413.31818346010226,0.12367270455965,0.21611492816989,-0.094940662086196,2.4887607582175e-12,3.1556491691455e-13,4.1607858236173e-13,1.7743171160144e-12,True,True,209.0072031423975,-19.385307491101578,*,NAME tet01 Ori A2,stellar
2CXO J113151.5-123158,172.96487380773056,-12.533000299067862,0.2939711155589069,390.2931300378097,0.14366021236727,0.33104309806371,-0.19612742036227,7.7429613766872e-12,1.0709840760662e-12,9.985490651928e-13,5.8102175212175e-12,True,True,274.42717864174244,45.888176922106815,gLS,[SSC2003] J1131GL,other
2CXO J053517.9-052245,83.82478698402525,-5.379322340743287,0.29429229567480314,362.5114936359408,0.1686445971268,0.21361648969394,-0.046221111805122,2.0232287966402e-12,2.2077002035965e-13,3.2613053380854e-13,1.4883540597114e-12,True,True,209.00389151535938,-19.37386820494459,IR,[LRY2000] 237,other
2CXO J053455.9-052313,83.73323850720283,-5.3869902374426255,0.29940009750939695,360.72341954225084,-0.51842598376015,-0.21361648969394,-0.34353529044347,1.1496867317651e-12,4.2026753077629e-13,2.8528947353768e-13,4.4771258621863e-13,True,True,208.96742112012623,-19.458621092377154,Or*,V* KM Ori,other
2CXO J013350.9+303936,23.46221341419482,30.66024582304903,0.2938264699668484,359.3379379724,0.0062460961898814,0.047470331043098,-0.041224234853217,1.4731078037874e-11,2.4389028046858e-12,3.2310160032878e-12,9.1810341800498e-12,True,True,133.61032150226185,-31.33058575482726,SNR,ChASeM33 J013350.89+303936.6,stellar
2CXO J041821.2+380135,64.58865720455151,38.02662137617662,0.2939871828982992,356.53712479439315,0.80199875078076,0.50218613366646,0.50218613366646,3.6978794247601e-12,6.145935215742e-14,3.2578929197385e-13,3.3426477430156e-12,True,True,161.67552891211974,-8.819772712712155,Sy1,3C 111,AGN
2CXO J174540.1-290029,266.41735217986445,-29.00830277236139,0.2938264699668484,351.5489201805031,0.98313554028732,0.96689569019363,0.2948157401624,3.156014791628e-14,0.0,2.1799099763294e-16,3.198388075335e-14,True,True,359.9440718312814,-0.04680872525905586,*,[EG97] S4711,stellar
2CXO J195928.3+404401,299.86813349688555,40.7339051435116,0.2937782389432372,324.2261498687851,0.8844472204872,0.90943160524672,-0.12991880074953,4.0571045800567e-12,4.827374310683e-14,4.5576612936612e-14,4.0364296455295e-12,True,True,76.18986395564988,5.7553946753569605,BH?,[PPD2017] Cygnus A-2,other
2CXO J054004.4-691936,85.01839019179624,-69.32688051833055,0.3788104286242304,321.69835142230113,0.83947532792005,0.99937539038101,-0.99937539038101,3.5663068600035e-15,2.2949112350886e-17,0.0,3.7443299128651e-15,False,True,279.71281157798785,-31.52605174983845,,,
2CXO J053518.3-052237,83.82654729460944,-5.377094564203922,0.2948695382921426,319.15924116278876,0.084946908182386,0.09369144284822,-0.0087445346658339,1.4588630765003e-12,1.9189404080639e-13,3.042078096617e-13,9.7183053738648e-13,True,True,209.00262590894295,-19.37129741848045,IR,[LRY2000] 246,other
2CXO J053522.8-052457,83.84533842175756,-5.416036091216201,0.29430834547983103,310.8102544469251,-0.8157401623985,-0.368519675203,-0.63960024984385,7.0953844755861e-13,4.5498163844e-13,1.22150753292e-13,1.3185651309184e-13,True,True,209.04841011320198,-19.372225063946647,SB*,* tet02 Ori A,other
2CXO J135704.4+191907,209.2684892089377,19.318699397169414,0.2938907656856519,308.1518484709435,0.067457838850718,0.25484072454716,-0.19113054341037,4.7371024970314e-12,6.9486324067704e-13,6.8652638575997e-13,3.3904185847532e-12,True,True,8.992519374384205,73.04158297099355,Bla,4C 19.44,AGN
2CXO J123049.3+122328,187.70565550019842,12.391190594669151,0.29395504734128697,301.2810169127117,0.99937539038101,0.99937539038101,-0.99937539038101,1.8433206078442e-14,0.0,0.0,6.3915140466266e-14,True,True,283.7767201925941,74.49113840759829,No*,[MSF2007]  3,stellar
2CXO J053541.9-052812,83.92494014725924,-5.4701826093037225,0.2947894332993839,298.64756117833787,-0.7158026233604,-0.33479075577764,-0.50093691442848,7.4395231144185e-13,3.8568739289213e-13,1.6065163616901e-13,1.9813430319137e-13,True,True,209.13756363654375,-19.326014171416542,Or*,Gaia DR3 3017347914253414016,other
